Word,Valence,Arousal,Dominance
aaaaaaah,0.479,0.606,0.291
aaaah,0.52,0.636,0.282
aardvark,0.427,0.49,0.437
aback,0.385,0.407,0.288
abacus,0.51,0.276,0.485
abalone,0.5,0.48,0.412
abandon,0.052,0.519,0.245
abandoned,0.046,0.481,0.13
abandonment,0.128,0.43,0.202
abashed,0.177,0.644,0.307
abate,0.255,0.696,0.604
abatement,0.388,0.338,0.336
abba,0.562,0.5,0.48
abbey,0.58,0.367,0.444
abbot,0.427,0.321,0.483
abbreviate,0.531,0.375,0.33
abbreviation,0.469,0.306,0.345
abdomen,0.469,0.462,0.471
abdominal,0.49,0.456,0.445
abduct,0.173,0.72,0.615
abduction,0.062,0.99,0.673
aberrant,0.146,0.765,0.431
aberration,0.125,0.816,0.417
abeyance,0.33,0.51,0.292
abhor,0.125,0.602,0.349
abhorrence,0.167,0.684,0.42
abhorrent,0.229,0.75,0.474
abide,0.635,0.354,0.705
abiding,0.796,0.327,0.75
ability,0.875,0.51,0.816
abject,0.354,0.59,0.417
ablation,0.418,0.5,0.5
ablaze,0.24,0.847,0.525
able,0.786,0.5,0.81
abnormal,0.137,0.604,0.309
abnormality,0.092,0.655,0.383
aboard,0.698,0.284,0.481
abode,0.62,0.302,0.5
abolish,0.448,0.615,0.529
abolition,0.323,0.69,0.529
abominable,0.12,0.731,0.482
abominate,0.198,0.788,0.366
abomination,0.078,0.755,0.518
aboriginal,0.448,0.427,0.542
abort,0.153,0.686,0.429
abortion,0.082,0.77,0.283
abortive,0.09,0.776,0.28
abound,0.704,0.49,0.681
abovementioned,0.541,0.298,0.509
abracadabra,0.673,0.632,0.434
abrasion,0.406,0.592,0.441
abrasive,0.392,0.61,0.593
abreast,0.635,0.38,0.519
abroad,0.677,0.596,0.561
abrogate,0.327,0.51,0.594
abrupt,0.271,0.819,0.545
abruptly,0.25,0.808,0.556
abscess,0.154,0.451,0.349
absence,0.153,0.235,0.266
absent,0.177,0.221,0.116
absentee,0.235,0.33,0.279
absenteeism,0.404,0.273,0.357
absinthe,0.481,0.51,0.462
absolute,0.526,0.51,0.827
absolution,0.715,0.5,0.664
absolve,0.684,0.449,0.66
absorb,0.469,0.558,0.67
absorbed,0.49,0.471,0.519
absorbent,0.552,0.394,0.718
absorbing,0.49,0.49,0.578
absorption,0.609,0.422,0.446
abstain,0.385,0.385,0.427
abstention,0.271,0.264,0.509
abstinence,0.26,0.392,0.429
abstract,0.438,0.292,0.444
abstraction,0.469,0.439,0.525
absurd,0.188,0.656,0.284
absurdity,0.115,0.528,0.227
abundance,0.812,0.69,0.852
abundant,0.958,0.59,0.76
abuse,0.071,0.873,0.469
abused,0.021,0.874,0.235
abusive,0.125,0.903,0.567
abutment,0.5,0.265,0.616
aby,0.385,0.452,0.368
abysmal,0.25,0.71,0.598
abyss,0.353,0.725,0.296
academic,0.781,0.42,0.812
academy,0.704,0.473,0.792
